name_project,project_desc,category_project
joki Bang Bang,NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED NETWORK LAG DETECTED,sepuh
cari Roblox,The latest installment in the Grand Theft Auto series is a great one I have had hours of fun with this game and will continue to play from hours on end I'm not going to touch the online issues that R* is causing but besides all of that bs this is a really great game and if you have the money and you can run it you should buy it.,"gg, pro player, mobile legend"
cari DOTA,Good Games!,"wibu, cecan, suhu"
joki Destiny,0/10 minecraft rip off,"waifu, cogan, cewek"
cari Minecraft,Overally the game is very good. Graphics are nice and gameplay is interesting. Variety of survivors killers perks offerings items and add ons gives you other tactics and changes the whole gameplay. Thanks to that Dead by Daylight is still fun even after playing for 100+ hours. The one thing that might be irritating is people some killers just camp near a hooked survivor making it impossible to save him. I know that's a part of the game but it can sometimes stop you from making a daily ritual especially when your playing as a character you don't main.,"susah, waifu, valorant"
joki Destiny,It's a pretty fun game. pew pew bang bang chicken fun,"valorant, free fire, susah"
tutor Minecraft,Take Two executives are legit money grubbing holes,valorant
tutor NINTENDO,REGION LOCK CHINA. Game is until it's done.,free fire
cari Genshin Impact,Story. Good. Company. Bad.,free fire
cari Minecraft,It is gud.,"susah, free fire, cecan"
tutor Cyberpunk,br&gt,wibu
joki Roblox,Oh hello there you're about to buy this game and spend more money and waste your life on it? well today is the day where i tell you do not purchase because you will be banned if you play fair. save your money today. I'm dissapointed i played this game since day 1 transfered from an old console to PC and then i get told i wasted my time and i get everything wiped. Dissapointed in you rockstar.,"free fire, suhu"
tutor VALORANT,Really fun game especially when you have a couple of friends to play it with. A large variety of servers although the server searching seems a little bit buggy at times (nothing major) you can still manage to get into a server eventually and be disapointed at how small your is in the game.I really enjoy it.,"waifu, gg"
joki Genshin Impact,DEAR BLUEHOLE!!! IF YOU ARE READING THIS PLEASE BRING US OPTIMIZATION!!!,"gg, pro player, jodoh"
cari ML,Wow.Not played in a while. Turns out to be more toxic than overwatch.,cogan
cari Clash Royale,+REP tons of hacker in FPP and Duo....but 40k player just got ban last month tho XD,"valorant, sepuh, cogan"
joki Cyberpunk,The only reason I bought this game initially was to mod it. I then decided to return it because my computer couldn't handle it and I have been waiting to build a beefier rig. So Congratz Take Two You just got rid of my only reason to re purchase this game. #freeOpenIV,"jodoh, waifu"
tutor Genshin Impact,highly recommended... just buy the game if it's on sale and don't even think twice ),waifu
tutor PUBG,GREAT FU*KING GAME go to the coast get together have some laughs kill some,"valorant, cecan, suhu"
joki ML,Its a really good game probably one of my favorites right now. The game still needs some work. Dont waste your time buying crates you just get the same **** over again.,cogan
joki Resident Evil,"i was stupid for buyng this game specially the criminal starter pack.the offline part is fine and a good game but all online experience is horrendous.Its basically a cashgrab even with the so called ""starterpack"" that IS BASICALLY A PAYWALL.. let me give an exemple you get ""for free"" a company and can act as CEO but to get it actually running you need to spend extra to buy a warehouse just to BEGIN playing a mission. after you begin finnaly playing it.... oh wait it was a setup mission not an actual mission then you get killed over and over by other online players higher leveled than you since they get rewarded for killing you and taking all you worked for. even if you do magically do this you still need to redo this mission ( driving a slow boring car for 10 km ) dozens of time just to break even in in game currencyim sure it was a thrill playing this back when it launched but if you want this game just buy a phisical copy for literally zero dollars and play offline.i wish i hadnt played offline first so i could apply for a refund","gg, sepuh"
joki ML,Angry *aarghh*!,cogan
joki Bang Bang,Optimize it then I will review it.,mobile legend
cari ML,small horse. game suck. crown hunt. suck. my life. my soul. drained.,free fire
tutor Resident Evil,Very nice game just not easy to run on alot of PC's.,"wibu, gg, sepuh"
cari PUBG,fun,"suhu, free fire, mobile legend"
tutor VALORANT,This game is great if you are a beginer at survival games. Its easy and not so hard to get into. The only thing i want in this game is that people like me can host a private server were you can play with your friends without being afraid of other players with better gear.,suhu
joki Cyberpunk,I liked it.,"susah, wibu"
tutor Bang Bang,Game is buggy you can't even hear footsteps clearly and then you have to increase volume and listen to the painful gunfire booming into ears sometimes I loose comection etc. I recommend you play this game when it's fully developed.,"cecan, cewek, mobile legend"
joki Bang Bang,Not worth time runs horibly fps lag as well as major desync issues. Don't waste your time,"gg, mobile legend"
tutor Bang Bang,This Game is Good and I Recommend it!,"valorant, cecan"
cari VALORANT,this game is great but not for people under age.,"cecan, gg, cogan"
tutor Resident Evil,I recommend this game but this servers are crap.Fix this bugs and PUT MORE SERVERS PLZ,mobile legend
tutor Roblox,Really fun and good game too bad it still has many game breaking bugs.,"cecan, cogan"
tutor Bang Bang,Fun to play and keeps you occupied.,"jodoh, cewek"
joki COD,já pensei em dar refund dai meus amigos ficaram dizendo que não era para eu fazer isso pq a gente jogava juntodai quase todo mundo parou de jogar e eu mandei o fodase e fiquei jogandoo que se tu cair com um assasino de outro pais tu já perde,suhu
joki PUBG,best game ever,"cewek, sepuh, free fire"
cari Resident Evil,R.I.P OpenIV you will be missed.,suhu
tutor Roblox,H1Z1 feels like a kids game after playing this game. By far the best battle royale game out there.,mobile legend
tutor COD,"I can't win in this game I Won 0 times But it's addicting!The feel of the game is really realistic.The developers are working with the comunity really hard.I really worths it.The ""paid crates"" are not relevant I would buy 1 especific thing or 2 but if its alleatory I will not pay money to doestn't know what I am buying simple.","mobile legend, pro player, waifu"
tutor PUBG,So I tried this game with mouse and keyboard and I ing hated it. I decided to give it another chance now that I have a controller and its one of the funnest games ever.,"wibu, valorant, free fire"
joki Genshin Impact,With the new release I can safely say this game is F U N. The First person aspect of the game feels loads better and there's significantly less rubberbanding and desyncs. The game looks great at lower graphical settings without being as taxing as it initially was during early access. The game used to take 90% of my processing power but now it runs at a nice 20% and 40% GPU. Good stuff!,"jodoh, waifu"
